
Keyword: learning â leaning	score: 3.5
Keyword: splinters completely	score: 3.5
Keyword: economic interests	score: 3.5
Keyword: year die	score: 3.5
Keyword: effective diplomacy	score: 3.5
Keyword: neighboring vermont	score: 3.5
Keyword: income inequality	score: 3.5
Keyword: lose track	score: 3.5
Keyword: sunday morning	score: 3.5
Keyword: executive role	score: 3.5
Keyword: grandmothers raising	score: 3.5
Keyword: long walk	score: 3.5
Keyword: ethical writings	score: 3.5
Keyword: young people	score: 3.46666666667
Keyword: big deal	score: 3.45833333333
Keyword: fair question	score: 3.44444444444
Keyword: partisan republicans	score: 3.44444444444
Keyword: previous question	score: 3.44444444444
Keyword: great opportunity	score: 3.43333333333
Keyword: public life	score: 3.42857142857
Keyword: entire life	score: 3.42857142857
Keyword: miserable life	score: 3.42857142857
Keyword: terrible attacks	score: 3.41666666667
Keyword: wrong side	score: 3.41666666667
Keyword: spend $750 million	score: 3.41666666667
Keyword: long time	score: 3.4
Keyword: corporate america	score: 3.4
Keyword: decriminalize marijuana	score: 3.4
Keyword: commercial break	score: 3.4
Keyword: medical marijuana	score: 3.4
Keyword: bad actors	score: 3.4
Keyword: short break	score: 3.4
Keyword: answered questions	score: 3.4
Keyword: bad error	score: 3.4
Keyword: progressive wing	score: 3.38461538462
Keyword: young person	score: 3.36666666667
Keyword: solicited money	score: 3.36363636364
Keyword: money interests	score: 3.36363636364
Keyword: clock back	score: 3.35714285714
Keyword: hair back	score: 3.35714285714
Keyword: julie carnigan	score: 3.33333333333
Keyword: madam secretary	score: 3.33333333333
Keyword: engender trust	score: 3.33333333333
Keyword: earlier today	score: 3.33333333333
Keyword: iraq war	score: 3.33333333333
Keyword: absolute answer	score: 3.33333333333
Keyword: amused today	score: 3.33333333333
Keyword: independent torn	score: 3.33333333333
Keyword: personally painful	score: 3.33333333333
Keyword: destroy unions	score: 3.33333333333
Keyword: ceo pay	score: 3.33333333333
Keyword: glib answer	score: 3.33333333333
Keyword: personal choice	score: 3.33333333333
Keyword: crucial issue	score: 3.33333333333
Keyword: qualified men	score: 3.33333333333
Keyword: perfectly happy	score: 3.33333333333
Keyword: eroded trust	score: 3.33333333333
Keyword: people vet	score: 3.3
Keyword: good contest	score: 3.3
Keyword: sanders points	score: 3.3
Keyword: chris lopez	score: 3.28571428571
Keyword: rigged economy	score: 3.28571428571
Keyword: united states	score: 3.28571428571
Keyword: ve influenced	score: 3.27777777778
Keyword: ve studied	score: 3.27777777778
Keyword: ve ended	score: 3.27777777778
Keyword: elected president	score: 3.27536231884
Keyword: single day	score: 3.27272727273
Keyword: faith advisers	score: 3.25
Keyword: amazing granddaughter	score: 3.25
Keyword: state representative	score: 3.25
Keyword: save lives	score: 3.25
Keyword: love campaigning	score: 3.25
Keyword: simply follow	score: 3.25
Keyword: open approach	score: 3.25
Keyword: jim kinhan	score: 3.25
Keyword: difficult issues	score: 3.25
Keyword: saturday night	score: 3.25
Keyword: personal questions	score: 3.23333333333
Keyword: end discrimination	score: 3.21212121212
Keyword: real difference	score: 3.19047619048
Keyword: real feeling	score: 3.19047619048
Keyword: delicate balance	score: 3.16666666667
Keyword: based perspective	score: 3.16666666667
Keyword: started happening	score: 3.16666666667
Keyword: amazing questions	score: 3.15
Keyword: hampshire primaries	score: 3.15
Keyword: amazing time	score: 3.15
Keyword: good deal	score: 3.13333333333
Keyword: support business	score: 3.125
Keyword: talk radio	score: 3.11111111111
Keyword: lot easier	score: 3.10526315789
Keyword: campaign sees	score: 3.1
Keyword: vote automatically	score: 3.1
Keyword: spend time	score: 3.06666666667
Keyword: country safe	score: 3.06666666667
Keyword: don lemon	score: 3.06060606061
Keyword: 23 million people	score: 3.05
Keyword: good ideas	score: 3.05
Keyword: hard fought	score: 3.03333333333
Keyword: hard won	score: 3.03333333333
Keyword: deserve answers	score: 3.0
Keyword: good jobs	score: 3.0
Keyword: difficult line	score: 3.0
Keyword: addiction problem	score: 3.0
Keyword: cnn	score: 3.0
Keyword: started talking	score: 3.0
Keyword: progressive president	score: 2.99331103679
Keyword: hard time	score: 2.93333333333
Keyword: taking drugs	score: 2.90476190476
Keyword: register concerns	score: 2.86666666667
Keyword: paid back	score: 2.85714285714
Keyword: defeat isis	score: 2.83333333333
Keyword: mom passed	score: 2.83333333333
Keyword: lot experience	score: 2.81954887218
Keyword: people deserve	score: 2.8
Keyword: defending people	score: 2.8
Keyword: terrible mistake	score: 2.79166666667
Keyword: economy producing	score: 2.78571428571
Keyword: ve accomplished	score: 2.77777777778
Keyword: ve talked	score: 2.77777777778
Keyword: republicans wanted	score: 2.77777777778
Keyword: ve made	score: 2.77777777778
Keyword: ve lost	score: 2.77777777778
Keyword: made speeches	score: 2.75
Keyword: coming tonight	score: 2.75
Keyword: including calling	score: 2.75
Keyword: close friends	score: 2.74285714286
Keyword: progressive values	score: 2.71794871795
Keyword: critics point	score: 2.7
Keyword: past couple	score: 2.7
