
Keyword: ve earned	score: 3.8
Keyword: ve spent	score: 3.8
Keyword: parents abandoned	score: 3.75
Keyword: start listening	score: 3.75
Keyword: congress passed	score: 3.75
Keyword: 21st century	score: 3.75
Keyword: united states	score: 3.75
Keyword: parents worked	score: 3.75
Keyword: construction workers	score: 3.71428571429
Keyword: factory workers	score: 3.71428571429
Keyword: farm workers	score: 3.71428571429
Keyword: connect workers	score: 3.71428571429
Keyword: work schedule	score: 3.68181818182
Keyword: unfinished work	score: 3.68181818182
Keyword: top 5 percent	score: 3.66666666667
Keyword: national debt	score: 3.66666666667
Keyword: tough rules	score: 3.66666666667
Keyword: bottom 20 percent	score: 3.66666666667
Keyword: progress ripped	score: 3.66666666667
Keyword: basic bargain	score: 3.66666666667
Keyword: college courses	score: 3.66666666667
Keyword: democrats guided	score: 3.66666666667
Keyword: community college	score: 3.66666666667
Keyword: lives changed	score: 3.66666666667
Keyword: american answered	score: 3.66666666667
Keyword: middle class	score: 3.66666666667
Keyword: student debt	score: 3.66666666667
Keyword: fewer rules	score: 3.66666666667
Keyword: high school	score: 3.66666666667
Keyword: improve skills	score: 3.66666666667
Keyword: law school	score: 3.66666666667
Keyword: fair compensation	score: 3.66666666667
Keyword: family issue	score: 3.65714285714
Keyword: ll wage	score: 3.63636363636
Keyword: blame women	score: 3.625
Keyword: putting people	score: 3.60869565217
Keyword: gay people	score: 3.60869565217
Keyword: people pointing	score: 3.60869565217
Keyword: make calls	score: 3.6
Keyword: make preschool	score: 3.6
Keyword: hard work	score: 3.53896103896
Keyword: work hard	score: 3.53896103896
Keyword: personally knew	score: 3.5
Keyword: effectively serve	score: 3.5
Keyword: strongest military	score: 3.5
Keyword: represented clients	score: 3.5
Keyword: living conditions	score: 3.5
Keyword: walked door	score: 3.5
Keyword: put immigrants	score: 3.5
Keyword: create millions	score: 3.5
Keyword: met charlotte	score: 3.5
Keyword: weeks ago	score: 3.5
Keyword: reward businesses	score: 3.5
Keyword: research tells	score: 3.5
Keyword: infrastructure bank	score: 3.5
Keyword: disabilities couldn	score: 3.5
Keyword: union leaders	score: 3.5
Keyword: public officials	score: 3.5
Keyword: buy elections	score: 3.5
Keyword: led efforts	score: 3.5
Keyword: ban discrimination	score: 3.5
Keyword: reinforced allies	score: 3.5
Keyword: breaking barriers	score: 3.5
Keyword: solving problems	score: 3.5
Keyword: inclusive economy	score: 3.5
Keyword: generous country	score: 3.47368421053
Keyword: compassionate country	score: 3.47368421053
Keyword: tolerant country	score: 3.47368421053
Keyword: indian country	score: 3.47368421053
Keyword: coal country	score: 3.47368421053
Keyword: prosperous country	score: 3.47368421053
Keyword: entire country	score: 3.47368421053
Keyword: term investing	score: 3.46666666667
Keyword: american family	score: 3.46666666667
Keyword: pulled back	score: 3.45454545455
Keyword: world throws	score: 3.45454545455
Keyword: fight back	score: 3.45454545455
Keyword: fellow americans	score: 3.4347826087
Keyword: lgbt americans	score: 3.4347826087
Keyword: americans safe	score: 3.4347826087
Keyword: americans made	score: 3.4347826087
Keyword: everyday americans	score: 3.4347826087
Keyword: continues today	score: 3.4
Keyword: meeting today	score: 3.4
